MyParcel_MyParcelBE::Invalid PakjeGemak address.,Invalid 'Ship to PostNL location' address.
MyParcel_MyParcelBE::Invalid phone number.,Invalid phone number.
MyParcel_MyParcelBE::Invalid housenumber extension.,Invalid housenumber extension.
MyParcel_MyParcelBE::A4,A4
MyParcel_MyParcelBE::A6,A6
MyParcel_MyParcelBE::Commercial Goods,Commercial Goods
MyParcel_MyParcelBE::Commercial Sample,Commercial Sample
MyParcel_MyParcelBE::Documents,Documents
MyParcel_MyParcelBE::Gift,Gift
MyParcel_MyParcelBE::Returned Goods,Returned Goods
MyParcel_MyParcelBE::Yes,Yes
MyParcel_MyParcelBE::No,No
MyParcel_MyParcelBE::Myparcel Consignment Options,Myparcel Consignment Options
MyParcel_MyParcelBE::Insured amount,Insured amount
MyParcel_MyParcelBE::Insured,Insured
MyParcel_MyParcelBE::MyParcel version %s,MyParcel version %s
MyParcel_MyParcelBE::Magento &amp; 3rd party version compatibility,Magento &amp; 3rd party version compatibility
MyParcel_MyParcelBE::Magento Community Edition version,Magento Community Edition version
MyParcel_MyParcelBE::Magento Enterprise Edition version,Magento Enterprise Edition version
MyParcel_MyParcelBE::Idev's OneStepCheckout version,Idev's OneStepCheckout version
MyParcel_MyParcelBE::IWD's OnePageCheckout version,IWD's OnePageCheckout version
"MyParcel_MyParcelBE::If you wish to use this extension on an unsupported Magento version or edition, or in combination with an unsupported 3rd party extension, we cannot guarantee the MyParcel extension will function as expected. For questions please contact the Total Internet Group servicedesk.","If you wish to use this extension on an unsupported Magento version or edition, or in combination with an unsupported 3rd party extension, we cannot guarantee the MyParcel extension will function as expected. For questions please contact the Total Internet Group servicedesk."
MyParcel_MyParcelBE::Support,Support
MyParcel_MyParcelBE::The extension is developed by Total Internet Group.,The extension is developed by Total Internet Group.
MyParcel_MyParcelBE::MyParcel account questions and information,MyParcel account questions and information
MyParcel_MyParcelBE::For questions related to your MyParcel account, configuration problems, extension conflicts and bugs, please contact MyParcel.,For questions related to your MyParcel account, configuration problems, extension conflicts and bugs, please contact MyParcel.
MyParcel_MyParcelBE::Phone,Phone
MyParcel_MyParcelBE::Online knowledgebase,Online knowledgebase
MyParcel_MyParcelBE::Request help directly,Request help directly
MyParcel_MyParcelBE::Email,Email
MyParcel_MyParcelBE::Documentation,Documentation
MyParcel_MyParcelBE::A list of documents regarding the extension.,A list of documents regarding the extension.
MyParcel_MyParcelBE::View the installation and configuration manual.,View the installation and configuration manual.
MyParcel_MyParcelBE::Installation and configuration manual,Installation and configuration manual
MyParcel_MyParcelBE::View the user manual.,View the user manual.
MyParcel_MyParcelBE::User manual,User manual
MyParcel_MyParcelBE::View the complete changelog of the extension.,View the complete changelog of the extension.
MyParcel_MyParcelBE::Full changelog,Full changelog
MyParcel_MyParcelBE::MyParcel PgAddress class missing.,MyParcel PgAddress class missing.
MyParcel_MyParcelBE::Select a transactional e-mail template to send the retourlink,Select a transactional e-mail template to send the retourlink
MyParcel_MyParcelBE::Select a transactional e-mail template to send the barcode,Select a transactional e-mail template to send the barcode
MyParcel_MyParcelBE::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,You can create a new transactional e-mail where the variables {{var retourlink}} is available.
MyParcel_MyParcelBE::Unable to send track and trace email for shipment #,Unable to send track and trace email for shipment #
MyParcel_MyParcelBE::Track&amp;Trace e-mail is sent: %s,Track&amp;Trace e-mail is sent: %s
MyParcel_MyParcelBE::Credit Consignment,Credit Consignment
MyParcel_MyParcelBE::Mail return label,Mail return label
MyParcel_MyParcelBE::Retour label mailed,Retour label mailed
"MyParcel_MyParcelBE::Credit has not been created, check MyParcel backend for details","Credit has not been created, check MyParcel backend for details"
MyParcel_MyParcelBE::Consignment %s is credited at MyParcel,Consignment %s is credited at MyParcel
"MyParcel_MyParcelBE::Select 'no' if you have problems with addresses on the labels","Select 'no' if you have problems with addresses on the labels"
MyParcel_MyParcelBE::Split street parts,Split street parts
MyParcel_MyParcelBE::Streetname field,Streetname field
MyParcel_MyParcelBE::Housenr. field,Housenr. field
MyParcel_MyParcelBE::Split house number parts,Split house number parts
MyParcel_MyParcelBE::Housenr. extension field,Housenr. extension field
MyParcel_MyParcelBE::Street line #%s,Street line #%s
MyParcel_MyParcelBE::This will be added to the regular shipping price,This will be added to the regular shipping price
MyParcel_MyParcelBE::Default shipment type for Cross Domestic shipments,Default shipment type for Cross Domestic shipments
"MyParcel_MyParcelBE::When changing the address, you need to cancel the current MyParcel shipment(s) linked to this order and create new MyParcel shipments.","When changing the address, you need to cancel the current MyParcel shipment(s) linked to this order and create new MyParcel shipments."
"MyParcel_MyParcelBE::To read the instructions for the MyParcel Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","To read the instructions for the MyParcel Magento extension, click <a target=""_blank"" href=""%s"">here</a>."
MyParcel_MyParcelBE::When using the extension please note:,When using the extension please note:
MyParcel_MyParcelBE::To be able to configure the extension you need to possess and use an active MyParcel account.,To be able to configure the extension you need to possess and use an active MyParcel account.
"MyParcel_MyParcelBE::During the transition phase the old Magento MyParcel extension can remain active. However, you do need to turn off PakjeGemak in the old MyParcel extension.","During the transition phase the old Magento MyParcel extension can remain active. However, you do need to turn off PakjeGemak in the old MyParcel extension."
MyParcel_MyParcelBE::We cannot guarantee perfect functionality of the MyParcel extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact MyParcel.<br><br>Supported extensions:,We cannot guarantee perfect functionality of the MyParcel extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact MyParcel.<br><br>Supported extensions:
MyParcel_MyParcelBE::Installation and configuration instructions,Installation and configuration instructions
MyParcel_MyParcelBE::Overview articles in knowledge base,View all articles in the knowledgebase
MyParcel_MyParcelBE::Questions and information about your MyParcel account,Questions and information about your MyParcel account
"MyParcel_MyParcelBE::Shipments will not be delivered at the neighbours, only on house address.","Shipments will not be delivered at the neighbours, only on house address."
MyParcel_MyParcelBE::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.
MyParcel_MyParcelBE::Unable to save check_status cron expression: %s,Unable to save check_status cron expression: %s
MyParcel_MyParcelBE::Some of the shipments could not be created or could not be created at MyParcel from the selected orders. See below for detailed information.,Some of the shipments could not be created or could not be created at MyParcel from the selected orders. See below for detailed information.
MyParcel_MyParcelBE::Select A4 print start position,Select A4 print start position
"MyParcel_MyParcelBE::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>"
MyParcel_MyParcelBE::Create MyParcel Consignment,Create MyParcel Consignment
MyParcel_MyParcelBE::Track&amp;Trace link: %s,Track&amp;Trace link: %s
MyParcel_MyParcelBE::Is letter box parcel,Is letter box parcel
